inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	1.85	1.85	0.75	1.85
inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	1.85	1.85	1.85	1.85
inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	0.75	1.85	1.85	1.85
inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	1.85	1.85	1.85	1.15
inf	inf	inf	inf	inf	inf	inf	inf	1.15	1.15	0.05	1.15	inf	inf	inf	inf
inf	inf	inf	inf	inf	inf	inf	inf	1.15	1.15	1.15	1.15	inf	inf	inf	inf
inf	inf	inf	inf	inf	inf	inf	inf	0.05	1.15	1.15	1.15	inf	inf	inf	inf
inf	inf	inf	inf	inf	inf	inf	inf	1.15	1.15	1.15	0.45	inf	inf	inf	inf
inf	inf	inf	inf	1.15	1.15	0.05	1.15	inf	inf	inf	inf	1.85	1.85	0.75	1.85
inf	inf	inf	inf	1.15	1.15	1.15	1.15	inf	inf	inf	inf	1.85	1.85	1.85	1.85
inf	inf	inf	inf	0.05	1.15	1.15	1.15	inf	inf	inf	inf	0.75	1.85	1.85	1.85
inf	inf	inf	inf	1.15	1.15	1.15	0.45	inf	inf	inf	inf	1.85	1.85	1.85	1.15
1.85	1.85	0.75	1.85	inf	inf	inf	inf	1.85	1.85	0.75	1.85	inf	inf	inf	inf
1.85	1.85	1.85	1.85	inf	inf	inf	inf	1.85	1.85	1.85	1.85	inf	inf	inf	inf
0.75	1.85	1.85	1.85	inf	inf	inf	inf	0.75	1.85	1.85	1.85	inf	inf	inf	inf
1.85	1.85	1.85	1.15	inf	inf	inf	inf	1.85	1.85	1.85	1.15	inf	inf	inf	inf
